project name, file path, num of dependency classes, num of mocked classes
mina-vysper,/vysper-admin-console/src/test/java/org/apache/vysper/console/AdminConsoleControllerTest.java,9,3,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/mina/codec/StanzaWriterProtocolEncoderTestCase.java,13,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/delivery/StanzaRelayBrokerTestCase.java,15,4,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/delivery/failure/ReturnErrorToSenderFailureStrategyTestCase.java,15,1,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/delivery/inbound/DeliveringInteralInboundStanzaRelayTestCase.java,26,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/delivery/inbound/DeliveringExternalInboundStanzaRelayTestCase.java,21,4,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/DefaultDiscoAwareModuleTestCase.java,12,6,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/core/bind/handler/BindIQHandlerTestCase.java,16,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/core/compatibility/jabber_iq_auth/handler/AuthCompatibilityIQHandlerTestCase.java,15,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/core/session/handler/SessionIQHandlerTestCase.java,18,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0049_privatedata/PrivateDataIQHandlerTestCase.java,21,3,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0054_vcardtemp/VcardTempIQHandlerTestCase.java,22,4,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep007_inbandreg/InBandRegistrationHandlerTestCase.java,20,4,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0092_software_version/SoftwareVersionIQHandlerTestCase.java,16,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0199_xmppping/XmppPingerTestCase.java,14,3,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0199_xmppping/XmppPingIQHandlerTestCase.java,13,1,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0202_entity_time/EntityTimeXEP0090IQHandlerTestCase.java,14,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0202_entity_time/EntityTimeIQHandlerTestCase.java,14,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/extension/xep0220_server_dailback/DbVerifyHandlerTestCase.java,10,1,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/roster/handler/RosterIQHandlerTestCase.java,12,1,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/servicediscovery/handler/ExtendedDiscoInfoTestCase.java,29,1,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/modules/servicediscovery/handler/DiscoInfoIQHandlerTestCase.java,29,5,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/protocol/SimpleStanzaHandlerInterceptorChainTest.java,12,6,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/DefaultServerRuntimeContextEventListenerTest.java,10,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/components/ComponentStanzaProcessorTestCase.java,19,5,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/response/ServerResponsesTestCase.java,20,2,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/s2s/DefaultXMPPServerConnectorRegistryTestCase.java,13,4,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/s2s/TlsProceedHandlerTestCase.java,15,3,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/server/s2s/FeaturesHandlerTestCase.java,17,3,
mina-vysper,/vysper-core/src/test/java/org/apache/vysper/xmpp/state/presence/LatestPresenceCacheTestCase.java,11,1,
mina-vysper,/vysper-websockets/src/test/java/org/apache/vysper/xmpp/extension/websockets/JettyXmppWebSocketServletTest.java,9,4,
mina-vysper,/vysper-websockets/src/test/java/org/apache/vysper/xmpp/extension/websockets/TomcatXmppWebSocketServletTest.java,10,4,
mina-vysper,/vysper-websockets/src/test/java/org/apache/vysper/xmpp/extension/websockets/JettyXmppWebSocketTest.java,10,3,
