project name, file path, num of dependency classes, num of mocked classes
commons-vfs,/commons-vfs2/src/test/java/org/apache/commons/vfs2/impl/DefaultFileSystemManagerTest.java,19,0,
crunch,/crunch-core/src/test/java/org/apache/crunch/fn/AndFnTest.java,10,3,
crunch,/crunch-core/src/test/java/org/apache/crunch/fn/NotFnTest.java,9,3,
crunch,/crunch-core/src/test/java/org/apache/crunch/fn/OrFnTest.java,10,3,
crunch,/crunch-core/src/test/java/org/apache/crunch/hadoop/mapreduce/lib/jobcontrol/CrunchJobControlTest.java,23,2,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/dist/DistributedPipelineTest.java,11,3,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/dist/collect/DoTableImplTest.java,12,1,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/mr/MRPipelineTest.java,21,3,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/mr/emit/IntermediateEmitterTest.java,15,1,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/mr/plan/DotfileWriterTest.java,20,7,
crunch,/crunch-core/src/test/java/org/apache/crunch/impl/mr/plan/JobPrototypeTest.java,18,5,
crunch,/crunch-core/src/test/java/org/apache/crunch/io/impl/FileTargetImplTest.java,25,1,
crunch,/crunch-core/src/test/java/org/apache/crunch/lib/join/JoinFnTestBase.java,10,1,
crunch,/crunch-core/src/test/java/org/apache/crunch/lib/join/LeftOuterJoinTest.java,7,0,
crunch,/crunch-core/src/test/java/org/apache/crunch/lib/join/BrokenLeftAndOuterJoinTest.java,13,1,
crunch,/crunch-core/src/test/java/org/apache/crunch/lib/join/InnerJoinFnTest.java,7,0,
crunch,/crunch-core/src/test/java/org/apache/crunch/lib/join/RightOuterJoinFnTest.java,7,0,
crunch,/crunch-core/src/test/java/org/apache/crunch/util/PartitionUtilsTest.java,9,2,
crunch,/crunch-kafka/src/test/java/org/apache/crunch/kafka/record/KafkaInputFormatTest.java,12,1,
crunch,/crunch-kafka/src/test/java/org/apache/crunch/kafka/record/KafkaRecordReaderTest.java,21,2,
crunch,/crunch-kafka/src/test/java/org/apache/crunch/kafka/record/KafkaRecordsIterableIT.java,36,2,
crunch,/crunch-test/src/main/java/org/apache/crunch/test/CrunchTestSupport.java,8,1,
curator,/curator-client/src/test/java/org/apache/curator/TestRetryLoop.java,15,1,
curator,/curator-client/src/test/java/org/apache/curator/BasicTests.java,22,1,
curator,/curator-client/src/test/java/org/apache/curator/TestEnsurePath.java,21,3,
curator,/curator-framework/src/test/java/org/apache/curator/framework/imps/TestWatcherIdentity.java,19,1,
