project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
commons-beanutils,0,0,
commons-bsf,0,0,
commons-chain,0,7,
commons-cli,0,0,
commons-codec,0,0,
commons-collections,0,4,
commons-compress,0,1,
commons-configuration,0,67,
commons-crypto,0,0,
commons-csv,0,1,
commons-daemon,0,0,
commons-dbcp,0,5,
commons-dbutils,0,12,
commons-digester,0,0,
commons-email,0,1,
commons-exec,0,0,
commons-fileupload,0,2,
commons-functor,0,0,
commons-geometry,0,0,
httpcomponents-client,0,68,
 
more inside classes mocked: ,more outside classes mocked: 
0,10
