project name, file path, num of dependency classes, num of mocked classes
reef,/reef-common/src/test/java/org/apache/reef/runtime/common/driver/EvaluatorRequestorImplTest.java,12,1,
reef,/reef-io/src/test/java/org/apache/reef/io/network/group/impl/utils/ScatterCodecTest.java,13,1,
reef,/reef-runtime-azbatch/src/test/java/org/apache/reef/runtime/azbatch/CommandBuilderTests.java,14,2,
reef,/reef-runtime-local/src/test/java/org/apache/reef/runtime/local/driver/ResourceManagerTest.java,30,1,
reef,/reef-runtime-yarn/src/test/java/org/apache/reef/runtime/yarn/driver/YarnResourceRequestHandlerTest.java,11,1,
reef,/reef-vortex/src/test/java/org/apache/reef/vortex/driver/TestUtil.java,24,3,
shindig,/common/src/test/java/org/apache/shindig/common/EasyMockTestCase.java,6,1,
shindig,/common/src/test/java/org/apache/shindig/common/cache/ehcache/EhCacheCacheProviderTest.java,8,0,
shindig,/common/src/test/java/org/apache/shindig/common/servlet/HttpServletUserAgentProviderTest.java,5,0,
shindig,/common/src/test/java/org/apache/shindig/common/servlet/HttpUtilTest.java,15,1,
shindig,/common/src/test/java/org/apache/shindig/common/uri/UriBuilderTest.java,14,1,
shindig,/common/src/test/java/org/apache/shindig/config/BasicContainerConfigTest.java,12,1,
shindig,/common/src/test/java/org/apache/shindig/protocol/JsonRpcServletTest.java,28,5,
shindig,/common/src/test/java/org/apache/shindig/protocol/DataServiceServletTest.java,18,6,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/DefaultGadgetSpecFactoryTest.java,20,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/GadgetTest.java,13,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/DefaultMessageBundleFactoryTest.java,23,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/HashLockedDomainServiceTest.java,19,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/admin/BasicGadgetAdminStoreTest.java,25,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/config/DefaultConfigProcessorTest.java,16,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/encoding/EncodingDetectorTest.java,7,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/features/FeatureResourceLoaderTest.java,27,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/http/MultipleResourceHttpFetcherTest.java,13,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/http/BasicHttpFetcherTest.java,14,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/http/AbstractHttpCacheTest.java,20,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/http/InvalidationHandlerTest.java,20,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/DeferJsProcessorTest.java,24,6,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/GetJsContentProcessorTest.java,22,7,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/CompilationProcessorTest.java,19,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/ConfigInjectionProcessorTest.java,26,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/ExportJsProcessorTest.java,23,6,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/AnonFuncWrappingProcessorTest.java,8,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/AddOnloadFunctionProcessorTest.java,7,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/DefaultJsServingPipelineTest.java,3,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/JsRequestBuilderTest.java,14,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/SeparatorCommentingProcessorTest.java,11,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/AddJslLoadedVariableProcessorTest.java,15,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/AddJslInfoVariableProcessorTest.java,17,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/DefaultJsProcessorRegistryTest.java,6,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/JsLoadProcessorTest.java,9,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/CajaJsSubtractingProcessorTest.java,17,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/js/IfModifiedSinceProcessorTest.java,8,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth/OAuthResponseParamsTest.java,15,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth/GadgetOAuthCallbackGeneratorTest.java,23,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth2/OAuth2ArgumentsTest.java,11,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth2/OAuth2FetcherConfigTest.java,4,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth2/BasicOAuth2StoreTest.java,13,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth2/handler/OAuth2HandlerModuleTest.java,8,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/oauth2/handler/CodeAuthorizationResponseHandlerTest.java,29,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/preload/PipelinedDataPreloaderTest.java,27,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/preload/PipelineExecutorTest.java,32,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/process/ProcessorTest.java,22,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/render/DefaultServiceFetcherTest.java,22,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/render/SanitizingProxyUriManagerTest.java,16,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/render/SanitizingResponseRewriterTest.java,18,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/render/CajaResponseRewriterTest.java,11,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/render/RenderingGadgetRewriterTest.java,66,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/ImageAttributeRewriterTest.java,20,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/RewriterTestBase.java,29,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/DefaultContentRewriterRegistryTest.java,13,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/BaseRewriterTestCase.java,25,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/DomWalkerTest.java,10,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/PipelineDataGadgetRewriterTest.java,38,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/StyleTagProxyEmbeddedUrlsVisitorTest.java,29,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/OsTemplateXmlLoaderRewriterTest.java,30,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/CacheEnforcementVisitorTest.java,27,5,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/ProxyingVisitorTest.java,15,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/BaseTagRemoverRewriterTest.java,11,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/CssResponseRewriterTest.java,22,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/DomWalkerTestBase.java,21,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/ContextAwareRegistryTest.java,16,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/StyleTagExtractorVisitorTest.java,24,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/ImageResizeRewriterTest.java,16,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/image/ImageRewriterTest.java,19,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/js/DefaultJsCompilerTest.java,14,3,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/rewrite/js/ClosureJsCompilerTest.java,31,9,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/OAuthCallbackServletTest.java,6,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ProxyServletTest.java,21,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ConcatProxyServletTest.java,18,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/GadgetsHandlerTest.java,67,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/HtmlAccelServletTest.java,29,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/JsServletTest.java,29,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/GadgetRenderingServletTest.java,19,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ETagFilterTest.java,15,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ETaggingHttpResponseTest.java,14,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/GadgetsHandlerServiceTest.java,55,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/HttpRequestHandlerTest.java,53,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ProxyHandlerTest.java,36,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/RpcServletTest.java,14,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/MakeRequestHandlerTest.java,42,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/MakeRequestServletTest.java,28,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/ServletUtilTest.java,25,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/CajaContentRewriterTest.java,33,4,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/servlet/HttpGadgetContextTest.java,7,0,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/templates/tags/IfTagHandlerTest.java,16,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/templates/tags/AbstractTagHandlerTest.java,17,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/templates/tags/RepeatTagHandlerTest.java,16,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/templates/tags/FlashTagHandlerTest.java,36,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultProxyUriManagerTest.java,16,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultConcatUriManagerTest.java,20,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultJsVersionerTest.java,21,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/UriManagerTestBase.java,19,6,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/AllJsIframeVersionerTest.java,16,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultIframeUriManagerTest.java,34,1,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultJsUriManagerTest.java,23,2,
shindig,/gadgets/src/test/java/org/apache/shindig/gadgets/uri/DefaultOAuthUriManagerTest.java,8,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/config/SocialApiGuiceModuleTest.java,16,2,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/oauth/OAuth2ImplicitFlowTest.java,12,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/oauth/OAuth2ClientCredentialFlowTest.java,11,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/oauth/OAuthAuthenticationHanderTest.java,24,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/oauth/OAuth2AuthCodeFlowTest.java,17,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/core/oauth2/OAuth2ServiceImplTest.java,7,1,
shindig,/social-api/src/test/java/org/apache/shindig/social/dataservice/integration/AbstractLargeRestfulTests.java,41,2,
shindig,/social-api/src/test/java/org/apache/shindig/social/opensocial/service/ActivityHandlerTest.java,33,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/opensocial/service/ActivityStreamHandlerTest.java,33,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/opensocial/service/PersonHandlerTest.java,37,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/opensocial/service/AppDataHandlerTest.java,28,0,
shindig,/social-api/src/test/java/org/apache/shindig/social/opensocial/service/MessageHandlerTest.java,23,2,
shiro,/core/src/test/java/org/apache/shiro/aop/AnnotationResolverTest.java,8,1,
shiro,/core/src/test/java/org/apache/shiro/authc/AbstractAuthenticatorTest.java,13,1,
shiro,/core/src/test/java/org/apache/shiro/authz/aop/RoleAnnotationHandlerTest.java,11,1,
shiro,/core/src/test/java/org/apache/shiro/concurrent/SubjectAwareExecutorServiceTest.java,12,1,
shiro,/core/src/test/java/org/apache/shiro/concurrent/SubjectAwareExecutorTest.java,8,1,
shiro,/core/src/test/java/org/apache/shiro/realm/ldap/DefaultLdapRealmTest.java,11,2,
shiro,/core/src/test/java/org/apache/shiro/realm/ldap/JndiLdapContextFactoryTest.java,14,1,
shiro,/core/src/test/java/org/apache/shiro/session/mgt/DefaultSessionManagerTest.java,15,1,
shiro,/core/src/test/java/org/apache/shiro/subject/DelegatingSubjectTest.java,17,1,
shiro,/core/src/test/java/org/apache/shiro/test/ExampleShiroUnitTest.java,5,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/GuiceEnvironmentTest.java,6,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/ShiroModuleTest.java,24,4,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/BeanTypeListenerTest.java,25,4,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/LifecycleTypeListenerTest.java,7,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/ShiroSessionScopeTest.java,9,3,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/ShiroMatchersTest.java,6,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/DestroyableInjectionListenerTest.java,3,2,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/InitializableInjectionListenerTest.java,3,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/aop/AopAllianceMethodInterceptorAdapterTest.java,6,2,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/aop/AopAllianceMethodInvocationAdapterTest.java,5,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/ShiroWebModuleTest.java,44,3,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/WebGuiceEnvironmentTest.java,10,3,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/SimpleFilterChainTest.java,13,4,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/FilterConfigTest.java,13,5,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/PathMatchingFilterProviderTest.java,6,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/AbstractInjectionProviderTest.java,13,1,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/SimpleFilterChainResolverTest.java,17,6,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/FilterChainResolverProviderTest.java,15,2,
shiro,/support_guice/src/test/java/org/apache/shiro/guice/web/GuiceShiroFilterTest.java,7,2,
shiro,/support_spring/src/test/java/org/apache/shiro/spring/remoting/SecureRemoteInvocationFactoryTest.java,14,1,
shiro,/support_spring/src/test/java/org/apache/shiro/spring/web/ShiroFilterFactoryBeanTest.java,14,4,
shiro,/web/src/test/java/org/apache/shiro/web/WebTest.java,4,2,
shiro,/web/src/test/java/org/apache/shiro/web/env/EnvironmentLoaderServiceTest.java,16,1,
shiro,/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,8,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterParameterizedTest.java,17,1,
shiro,/web/src/test/java/org/apache/shiro/web/filter/authc/BasicHttpFilterAuthenticationTest.java,15,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/authz/IpFilterTest.java,10,1,
shiro,/web/src/test/java/org/apache/shiro/web/filter/authz/AuthorizationFilterTest.java,15,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/authz/SslFilterTest.java,12,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/authz/PortFilterTest.java,5,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/mgt/SimpleNamedFilterListTest.java,12,2,
shiro,/web/src/test/java/org/apache/shiro/web/filter/mgt/PathMatchingFilterChainResolverTest.java,19,3,
shiro,/web/src/test/java/org/apache/shiro/web/mgt/DefaultWebSecurityManagerTest.java,32,3,
shiro,/web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,18,4,
shiro,/web/src/test/java/org/apache/shiro/web/servlet/ShiroHttpServletRequestTest.java,15,4,
shiro,/web/src/test/java/org/apache/shiro/web/servlet/SimpleCookieTest.java,8,2,
shiro,/web/src/test/java/org/apache/shiro/web/servlet/OncePerRequestFilterTest.java,10,3,
shiro,/web/src/test/java/org/apache/shiro/web/session/HttpServletSessionTest.java,6,1,
