project name, file path, num of dependency classes, num of mocked classes
abdera,/core/src/test/java/org/apache/abdera/util/MimeTypeHelperTest.java,10,3,
abdera,/opensearch/src/test/java/org/apache/abdera/test/ext/opensearch/server/impl/SimpleOpenSearchInfoTest.java,11,1,
abdera,/server/src/test/java/org/apache/abdera/protocol/server/processors/EntryRequestProcessorTest.java,6,3,
abdera,/server/src/test/java/org/apache/abdera/protocol/server/processors/MediaRequestProcessorTest.java,6,3,
abdera,/server/src/test/java/org/apache/abdera/protocol/server/test/route/RouteTest.java,16,1,
accumulo,/base/src/test/java/org/apache/accumulo/server/ServerContextTest.java,25,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/MockServerContext.java,8,1,
accumulo,/base/src/test/java/org/apache/accumulo/server/ServiceEnvironmentImplTest.java,11,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/client/BulkImporterTest.java,29,0,
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ServerConfigurationFactoryTest.java,25,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ZooCachePropertyAccessorTest.java,16,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/NamespaceConfigurationTest.java,25,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/ZooConfigurationFactoryTest.java,17,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/conf/TableConfigurationTest.java,22,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/constraints/MetadataConstraintsTest.java,17,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/init/InitializeTest.java,17,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/iterators/MetadataBulkLoadFilterTest.java,20,1,
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/LiveTServerSetTest.java,12,3,
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/state/MergeInfoTest.java,20,1,
accumulo,/base/src/test/java/org/apache/accumulo/server/manager/state/TabletLocationStateTest.java,19,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/BaseHostRegexTableLoadBalancerTest.java,35,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerReconfigurationTest.java,22,0,
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerTest.java,30,0,
accumulo,/base/src/test/java/org/apache/accumulo/server/master/balancer/TableLoadBalancerTest.java,30,2,
accumulo,/base/src/test/java/org/apache/accumulo/server/problems/ProblemReportTest.java,27,1,
