project name, file path, num of dependency classes, num of mocked classes
orc,/core/src/test/org/apache/orc/TestVectorOrcFile.java,77,1,
orc,/core/src/test/org/apache/orc/impl/TestOutStream.java,20,1,
orc,/core/src/test/org/apache/orc/impl/TestDataReaderProperties.java,11,2,
orc,/core/src/test/org/apache/orc/impl/TestMemoryManager.java,9,1,
orc,/core/src/test/org/apache/orc/impl/TestRecordReaderImpl.java,76,2,
orc,/core/src/test/org/apache/orc/impl/TestOrcLargeStripe.java,36,2,
orc,/mapreduce/src/test/org/apache/orc/mapred/TestOrcFileEvolution.java,35,1,
parquet-mr,/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,33,1,
parquet-mr,/parquet-hadoop/src/test/java/org/apache/parquet/filter2/dictionarylevel/DictionaryFilterTest.java,56,1,
parquet-mr,/parquet-hadoop/src/test/java/org/apache/parquet/hadoop/TestColumnChunkPageWriteStore.java,58,1,
parquet-mr,/parquet-hadoop/src/test/java/org/apache/parquet/hadoop/TestInputFormat.java,56,1,
parquet-mr,/parquet-hadoop/src/test/java/org/apache/parquet/hadoop/TestParquetFileWriter.java,70,1,
parquet-mr,/parquet-protobuf/src/test/java/org/apache/parquet/proto/ProtoWriteSupportTest.java,13,1,
parquet-mr,/parquet-thrift/src/test/java/org/apache/parquet/thrift/projection/TestStrictFieldProjectionFilter.java,8,0,
pdfbox,/pdfbox_pdfbox/src/test/java/org/apache/pdfbox/pdmodel/font/TestFontEmbedding.java,31,2,
pig,/pig/test/org/apache/pig/test/TestPigServerLocal.java,41,0,
plc4x,/apache-camel/src/test/java/org/apache/plc4x/camel/MockDriver.java,7,7,
plc4x,/apache-camel/src/test/java/org/apache/plc4x/camel/Plc4XProducerTest.java,11,4,
plc4x,/apache-camel/src/test/java/org/apache/plc4x/camel/Plc4XEndpointTest.java,9,2,
plc4x,/api/src/test/java/org/apache/plc4x/java/mock/ApiMockDriver.java,2,1,
plc4x,/connection-cache/src/test/java/org/apache/plc4x/java/utils/connectionpool2/CachedDriverManagerIT.java,12,2,
plc4x,/connection-cache/src/test/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnectionTest.java,8,2,
plc4x,/connection-cache/src/test/java/org/apache/plc4x/java/utils/connectionpool2/CachedDriverManagerTest.java,17,3,
plc4x,/connection-cache/src/test/java/org/apache/plc4x/java/utils/connectionpool2/PooledDriverManagerTest.java,5,1,
plc4x,/connection-pool/src/test/java/org/apache/plc4x/java/utils/connectionpool/PooledDummyDriver.java,2,1,
plc4x,/connection-pool/src/test/java/org/apache/plc4x/java/utils/connectionpool/PooledPlcDriverManagerTest.java,22,1,
plc4x,/drivers_simulated/src/test/java/org/apache/plc4x/java/simulated/connection/SimulatedConnectionTest.java,18,4,
plc4x,/opm/src/test/java/org/apache/plc4x/java/opm/ConnectedEntityTest.java,9,1,
plc4x,/opm/src/test/java/org/apache/plc4x/java/opm/PlcEntityManagerComplexTest.java,20,2,
plc4x,/opm/src/test/java/org/apache/plc4x/java/opm/PlcEntityInterceptorTest.java,25,5,
plc4x,/opm/src/test/java/org/apache/plc4x/java/opm/PlcEntityManagerTest.java,14,2,
plc4x,/scraper/src/test/java/org/apache/plc4x/java/scraper/ScraperTaskTest.java,13,2,
plc4x,/scraper/src/test/java/org/apache/plc4x/java/scraper/ScraperTest.java,15,1,
plc4x,/scraper/src/test/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperImplTest.java,9,1,
plc4x,/scraper/src/test/java/org/apache/plc4x/java/scraper/triggeredscraper/triggerhandler/TriggerConfigurationTest.java,11,1,
plc4x,/spi/src/test/java/org/apache/plc4x/java/spi/Plc4xNettyWrapperTest.java,16,4,
plc4x,/spi/src/test/java/org/apache/plc4x/java/spi/internal/DefaultSendRequestContextTest.java,12,2,
